  Velocity data for Jupiter's White Oval BC.  The data correspond to
  Figure 4 of Dowling and Ingersoll (1988, J. Atmos. Sci. 45, 1380-1396).
  The zero of longitude corresponds to System III on 4 March 1979.

     wlon     glat    u(m/s)    v(m/s)
     75.21   -31.01    -7.33    -2.81
     70.40   -30.31   -24.26     9.32
     71.87   -30.62   -21.47    -5.00
     72.04   -30.66   -19.68    -1.74
     77.77   -33.52    -7.18   -19.85
     77.15   -33.96     2.37   -28.00
     78.18   -33.35    -8.30   -16.82
     76.46   -35.06    32.11   -30.81
     78.14   -33.85    -1.59   -19.81
     78.76   -33.13   -27.85   -22.57
     79.20   -32.52    -6.73   -21.35
     78.89   -32.90   -22.25   -19.09
     76.59   -32.38   -29.81   -34.09
     77.25   -32.94   -16.96   -23.77
     78.44   -31.26   -13.01   -10.16
     79.17   -30.93    11.14    -6.34
     79.46   -31.55    -6.95    -8.39
     77.32   -34.44    23.42   -38.54
     72.87   -34.58    27.98   -10.06
     74.70   -35.21    38.34   -24.44
     73.71   -33.77   -31.37   -47.84
     74.10   -34.60    48.79   -50.97
     72.07   -35.10    57.05     2.48
     73.58   -34.08    19.89   -16.48
     70.31   -33.54    10.75     7.52
     70.03   -34.07    13.93    14.39
     70.45   -33.76     4.60     7.69
     70.63   -33.92    14.95     5.81
     70.34   -34.07    13.50    11.44
     70.91   -34.10    24.12     7.86
     70.77   -34.27    24.48    12.29
     71.26   -34.63    25.58    11.77
     71.79   -35.08    61.71     7.70
     71.22   -35.07    60.84    10.25
     72.10   -35.11    59.65     0.70
     72.80   -35.07    60.01   -14.48
     73.49   -34.86    50.25   -23.14
     73.66   -34.74    46.62   -25.62
     73.84   -34.17    26.40   -19.78
     70.68   -33.38   -12.49    16.13
     71.18   -33.34   -11.33    10.00
     71.96   -33.44    -3.31     2.05
     72.59   -33.46    -5.67    -6.31
     72.36   -34.80    42.04    -1.79
     72.48   -34.71    27.99    -7.87
     72.63   -34.59    26.28    -8.69
     72.71   -34.72    29.00    -7.30
     72.86   -34.60    27.33    -7.59
     73.32   -34.40    22.50   -11.56
     72.86   -34.08    18.76    -9.85
     71.47   -34.67    16.02     8.95
     71.17   -35.07    59.84    11.59
     69.11   -33.94     7.79    52.06
     68.86   -34.72    38.18    41.71
     69.22   -33.05   -38.53    53.52
     69.51   -33.09  -102.51    91.81
     68.89   -33.16   -36.45    49.15
     69.31   -34.33    33.78    37.28
     76.02   -30.74   -14.10   -30.15
     77.06   -32.89   -26.59   -25.04
     76.55   -32.33   -31.41   -27.89
     76.14   -31.91   -32.97   -30.98
     75.34   -31.27   -34.36   -30.30
     74.56   -30.65   -27.99   -18.51
     70.52   -30.30   -21.55     7.48
     79.19   -30.91    12.76    -5.53
     78.36   -31.38   -11.93   -11.72
     74.96   -33.54   -21.44   -79.94
     74.14   -32.55   -70.71   -54.46
     73.06   -32.10   -70.98   -25.62
     72.53   -32.01   -75.03   -13.62
     71.68   -31.70  -118.78     9.14
     71.00   -31.80  -118.01    21.74
     70.40   -32.32   -93.99    33.39
     70.33   -31.80  -120.52    46.72
     73.14   -32.09   -69.90   -29.00
     73.44   -31.91   -88.18   -40.15
     74.05   -32.82   -44.71   -45.31
     72.59   -32.00   -71.28   -14.97
     72.03   -32.02   -72.18    -1.23
     72.87   -34.60    28.12    -7.17
     72.51   -34.74    27.76    -8.70
     67.53   -31.44   -24.58    19.97
     67.98   -30.98   -22.33    15.03
     68.86   -30.85   -30.96    12.25
     69.90   -30.21   -21.40    10.73
     67.98   -30.72   -35.83    21.48
     70.97   -35.06    51.43    14.17
     68.87   -34.41    55.88    65.82
     72.63   -33.54    -8.94    -8.80
     73.10   -33.52    -9.19   -20.04
     74.25   -33.39   -16.11   -41.14
     83.96   -30.96    -9.14     7.23
     82.50   -30.76   -18.51    14.50
     82.35   -30.36    -5.87     1.21
     66.60   -30.70   -18.80    34.26
     67.49   -31.30   -19.55    23.88
     68.52   -30.82   -32.92    25.65
     70.35   -30.13   -14.22     5.84
     71.94   -33.05    -4.84    -0.01
     74.54   -34.50    53.08   -49.35
     73.53   -35.41   115.97   -22.67
     74.15   -34.02    25.11   -22.87
     73.88   -34.45    66.89   -52.91
     73.10   -34.55    50.99   -15.21
     73.43   -34.84    61.38   -14.67
     72.13   -35.47   110.01    -8.21
     72.10   -35.12    73.69     2.78
     70.66   -36.09    99.89    12.96
     72.21   -36.70   102.39    -3.32
     74.43   -36.41    55.67   -12.77
     72.86   -33.84    22.00    -4.27
     73.18   -36.74    63.12   -11.23
     73.43   -33.59     6.28   -25.23
     72.15   -34.51    49.52    -3.97
     72.30   -33.50     4.11    -2.48
     72.66   -34.78    62.85    -0.68
     71.37   -34.93    60.91     7.84
     72.99   -33.11   -20.94    -9.05
     72.96   -32.66   -32.30    -9.46
     74.22   -35.03    86.13   -26.99
     72.65   -35.24    85.98    -4.38
     73.10   -33.87    28.51   -13.57
     71.51   -36.38    73.60    20.60
     71.40   -35.78   122.94    14.79
     73.81   -35.68   100.25   -19.17
     73.22   -36.13    87.64   -11.42
     73.24   -35.69   113.88   -24.55
     74.79   -34.63    47.77   -36.46
     74.85   -34.30    42.27   -51.00
     74.42   -35.91    57.40   -15.58
     73.74   -36.07    61.75   -16.96
     72.16   -32.90   -18.17     7.48
     71.97   -32.58   -13.46     5.69
     70.98   -33.58    10.33    17.54
     71.15   -33.40     5.61    10.27
     71.30   -33.96    15.97     6.95
     70.03   -34.19    28.10    27.17
     70.62   -34.89    68.04    22.41
     70.35   -34.84    62.92    27.87
     70.26   -35.07    83.33    28.82
     69.60   -34.98    89.91    42.24
     68.92   -34.73    74.77    56.89
     69.84   -35.47   161.24    39.54
     69.07   -35.27    98.03    55.34
     67.97   -34.38    57.57    82.35
     68.34   -34.02    32.08    81.98
     68.04   -33.60    15.25    82.45
     67.63   -33.77    13.46   103.49
     68.31   -34.84    87.33    75.31
     67.34   -33.03    -9.11    66.67
     68.45   -32.43   -52.33    74.87
     69.09   -31.68   -74.03    61.45
     70.17   -31.58   -72.45    26.84
     69.53   -31.92   -64.52    53.65
     70.02   -33.89    16.30    17.18
     70.26   -32.94   -20.04    16.81
     70.03   -32.16   -46.21    38.96
     69.21   -32.58   -30.08    47.54
     69.08   -33.68    15.66    44.86
     69.17   -33.34    -1.97    44.45
     70.54   -32.48   -29.95    26.26
     71.17   -31.47   -82.71    -0.62
     69.30   -31.74   -81.07    63.74
     71.13   -32.64   -16.80    13.04
     70.45   -33.81    15.73    19.01
     71.61   -33.47    -1.14     6.37
     71.67   -34.03    17.51    12.48
     71.61   -34.53    38.11    10.00
     72.19   -33.94    16.03     4.24
     72.23   -33.19    -4.89    -6.01
     70.51   -33.31    -3.48    21.51
     69.30   -34.37    49.50    49.83
     69.70   -33.49    -4.46    45.27
     66.70   -34.86    37.82    17.62
     67.98   -35.88    75.79    34.07
     67.48   -35.63    63.93    28.35
     67.73   -35.03    82.30    45.97
     69.10   -36.01    77.76    17.50
     69.49   -35.82    74.79    20.20
     68.58   -36.25    82.32    29.89
     68.06   -36.21    93.80    37.77
     67.41   -36.03    77.48    20.09
     67.04   -36.07    57.45    22.49
     68.21   -33.19    -1.98    76.82
     68.40   -33.02   -17.88    77.29
     69.75   -31.68   -82.80    56.02
     71.57   -31.72   -59.94     0.82
     72.09   -32.36   -17.33    -9.12
     70.63   -34.30    39.39     9.66
     70.85   -34.63    48.54    10.58
     69.54   -34.63    55.21    35.87
     68.56   -34.01    23.72    79.15
     68.74   -32.30   -45.98    78.09
     69.78   -32.69   -48.26    48.63
     71.54   -32.32   -38.25    23.64
     70.68   -31.45   -80.71    17.94
     70.35   -31.12   -72.35    32.17
     68.28   -31.53   -12.81    17.61
