  Velocity data for Jupiter's Great Red Spot.  The data correspond to
  Figure 2 of Dowling and Ingersoll (1988, J. Atmos. Sci. 45, 1380-1396).
  Data have been combined from both Voyager 1 and Voyager 2.
  The zero of longitude corresponds to System III on 5 July 1979.

     wlon     glat    u(m/s)    v(m/s)
     97.92   -29.03    48.36     5.66
     99.72   -29.18    40.33     2.49
     99.37   -30.18    10.43    10.24
     99.46   -30.97    -4.81    10.07
     95.48   -29.16    52.78     3.35
     92.92   -30.34    17.65     8.42
     93.96   -30.34    23.62     6.84
     97.21   -30.31    25.11     1.88
     96.82   -31.01    -8.07     2.87
     97.61   -31.52   -29.21    11.18
     98.03   -31.87   -19.01     0.56
     96.81   -32.56   -39.64    -3.41
     96.09   -32.01   -40.59    -3.52
     97.79   -27.20    45.16     1.57
     97.02   -26.98    39.63    -0.07
     95.88   -28.14    65.08    -0.82
     90.67   -28.85    58.54    -1.77
     90.32   -27.56    34.16    -0.66
     89.15   -27.69    41.89    -0.07
     91.45   -27.52    28.50    -3.25
     92.25   -28.84    61.60    -6.24
     93.47   -29.26    61.77     3.95
     96.55   -29.42    40.88     5.59
     96.30   -29.85    33.72     6.46
     95.96   -26.50    46.70     2.11
     95.68   -26.03    46.70     0.90
     96.82   -26.11    41.99     2.64
     97.18   -25.92    42.54     5.15
     96.33   -27.06    37.21    -3.75
     97.92   -27.68    39.98     2.08
     99.18   -27.78    26.91     0.53
     98.40   -27.33    42.04     2.31
     94.74   -27.50    51.33     1.26
     94.00   -27.94    49.19    -0.35
     91.97   -26.90    30.88    -0.89
     92.60   -27.01    28.91    -3.55
     92.62   -25.99    26.07     1.08
     94.53   -25.18    27.35     1.94
     92.02   -25.37    41.54     5.65
     93.69   -25.74    44.86     2.22
     94.90   -28.68    54.50     1.12
     94.85   -28.11    51.36     4.04
     95.00   -26.02    46.03    -3.62
     95.76   -24.99    23.12     4.38
     91.45   -23.27     0.89     1.73
     92.32   -22.92    -2.16     0.26
     95.49   -21.89   -11.18     9.06
     94.28   -22.28    -5.18     2.06
     94.05   -23.24     0.87    -0.04
     88.52   -24.32     9.71    -0.64
     92.69   -23.39     1.51     0.08
     90.96   -23.11     0.91     3.72
     91.30   -22.63    -3.04    -0.91
     89.91   -24.11    14.38    -0.38
     90.18   -24.62    23.88    -0.06
     90.98   -24.08    15.33     2.81
     92.11   -24.18    12.29     3.80
     90.78   -24.87    33.44    -0.05
     91.01   -25.61    42.68     0.78
     89.84   -27.20    40.26     2.80
     92.21   -21.43   -25.55    -0.44
     91.15   -21.49   -28.46     1.11
     91.06   -21.01   -39.22     2.89
     89.57   -20.85   -41.73     0.63
     92.21   -21.88   -16.56    -0.36
     92.51   -22.48    -7.51    -1.06
     90.58   -22.56    -3.65    -1.43
     89.73   -23.08     1.35    -0.33
     90.05   -25.70    38.26    -4.91
     89.51   -26.08    36.89     2.91
     88.64   -20.86   -25.41     0.34
     93.79   -21.60   -13.90     3.71
     94.13   -21.19   -25.02     7.69
     95.03   -20.90   -18.21     8.07
     89.41   -23.60     6.86     1.07
     92.21   -23.27     4.62    -1.80
     91.56   -23.60     4.61     2.41
     92.99   -23.66     7.28     1.38
     95.95   -21.47   -14.21     7.18
     91.50   -24.91    37.68     3.07
     95.39   -18.77   -65.04    16.24
     93.97   -19.28   -57.92     7.25
     92.34   -19.08   -76.78     9.63
     95.93   -17.83   -70.72    20.06
     90.81   -19.74   -49.43     5.38
     93.79   -18.43   -71.48    16.19
     93.26   -19.56   -48.50     7.36
     92.07   -19.97   -41.06     1.22
     92.80   -20.68   -33.47     8.62
    102.06   -17.98   -77.96    38.37
    102.69   -18.09   -75.81    35.79
