Note about Orton's Jupiter temperature profile.  It is a digitization of the 
radio occultation profiles published by Lindal.  Those profiles don't agree 
with each other because there are large amplitude oscillations (waves) that 
have different phases and different amplitudes at different locations.  Also, 
I do not know whether Orton's profile has a moist adiabat tacked on at the 
bottom, but I suspect it does not.  This would be easy to check -- just see 
if T is varying as a dry adiabat:  P^{\kappa} where \kappa is (\gamma - 
1)/\gamma. 

Andy

*******************************************************************************

From:	SMTP%"go@orton.Jpl.Nasa.Gov"  2-AUG-1994 11:46:01.03
To:	API
CC:	
Subj:	

Date: Tue, 02 Aug 1994 11:46:20 +0800
From: go@orton.Jpl.Nasa.Gov (Glenn Orton)
To: api@SATUR1.GPS.CALTECH.EDU
Message-id: <9408021846.AA19394@orton.jpl.nasa.gov>
X-Envelope-to: api@SATUR1.GPS.CALTECH.EDU
Content-transfer-encoding: 7BIT
Content-Length: 11348
	NOTE: T(p) values in the range p > 100 bars added by T. Dowling, Jan 4, 2006.
   alt(km)     pres(bar)    temp(k)  dens(g/cm3)  nh3 par pres     cp/r    cp/cv
  0.          5.01190E+02 1.06114E+03 0.          0.          3.41532E+00 0.
  0.          3.98110E+02 9.91958E+02 0.          0.          3.41532E+00 0.
  0.          3.16230E+02 9.27285E+02 0.          0.          3.41532E+00 0.
  0.          2.51190E+02 8.66829E+02 0.          0.          3.41532E+00 0.
  0.          1.99530E+02 8.10318E+02 0.          0.          3.41532E+00 0.
  0.          1.58490E+02 7.57484E+02 0.          0.          3.41532E+00 0.
  0.          1.25890E+02 7.08094E+02 0.          0.          3.41532E+00 0.
 -2.73150E+02 1.00000E+02 6.61932E+02 4.11580E-03 2.20000E-02 3.41532E+00 1.41402E+00
 -2.48990E+02 7.94330E+01 6.18729E+02 3.49760E-03 1.74750E-02 3.41040E+00 1.41487E+00
 -2.26410E+02 6.30960E+01 5.78305E+02 2.97240E-03 1.38810E-02 3.40721E+00 1.41542E+00
 -2.05310E+02 5.01190E+01 5.40492E+02 2.52620E-03 1.10260E-02 3.40452E+00 1.41588E+00
 -1.85590E+02 3.98110E+01 5.05126E+02 2.14720E-03 8.75840E-03 3.40188E+00 1.41634E+00
 -1.67160E+02 3.16230E+01 4.72049E+02 1.82510E-03 6.95700E-03 3.39932E+00 1.41678E+00
 -1.49940E+02 2.51190E+01 4.41117E+02 1.55140E-03 5.52620E-03 3.39684E+00 1.41722E+00
 -1.33850E+02 1.99530E+01 4.12191E+02 1.31880E-03 4.38960E-03 3.39444E+00 1.41764E+00
 -1.18810E+02 1.58490E+01 3.85143E+02 1.12110E-03 3.48680E-03 3.39175E+00 1.41810E+00
 -1.04750E+02 1.25890E+01 3.59835E+02 9.53150E-04 2.76960E-03 3.38594E+00 1.41912E+00
 -9.16200E+01 1.00000E+01 3.36135E+02 8.10500E-04 2.20000E-03 3.37708E+00 1.42068E+00
 -7.93500E+01 7.94330E+00 3.13927E+02 6.89340E-04 1.74750E-03 3.36578E+00 1.42269E+00
 -6.78900E+01 6.30960E+00 2.93109E+02 5.86460E-04 1.38810E-03 3.35191E+00 1.42519E+00
 -5.71800E+01 5.01190E+00 2.73572E+02 4.99110E-04 1.10260E-03 3.33285E+00 1.42866E+00
 -4.71900E+01 3.98110E+00 2.55218E+02 4.24970E-04 8.75840E-04 3.30946E+00 1.43300E+00
 -3.78700E+01 3.16230E+00 2.37966E+02 3.62030E-04 6.95700E-04 3.28289E+00 1.43804E+00
 -2.91700E+01 2.51190E+00 2.21730E+02 3.08630E-04 5.52620E-04 3.24916E+00 1.44461E+00
 -2.10700E+01 1.99530E+00 2.06425E+02 2.63330E-04 4.38960E-04 3.20879E+00 1.45274E+00
 -1.35300E+01 1.58490E+00 1.91987E+02 2.24900E-04 3.48680E-04 3.16451E+00 1.46200E+00
 -6.51000E+00 1.25890E+00 1.78364E+02 1.92290E-04 2.76960E-04 3.11577E+00 1.47264E+00
  0.00000E+00 1.00000E+00 1.65500E+02 1.64610E-04 2.20000E-04 3.06224E+00 1.48491E+00
  5.80000E+00 7.94330E-01 1.53800E+02 1.40700E-04 1.74750E-04 3.00723E+00 1.49820E+00
  1.12100E+01 6.30960E-01 1.43300E+02 1.19850E-04 5.50550E-05 2.95257E+00 1.51215E+00
  1.62500E+01 5.01190E-01 1.33800E+02 1.01910E-04 8.57240E-06 2.89898E+00 1.52660E+00
  2.10000E+01 3.98110E-01 1.26800E+02 8.54150E-05 1.82180E-06 2.85700E+00 1.53850E+00
  2.55000E+01 3.16230E-01 1.20500E+02 7.13940E-05 3.87590E-07 2.81738E+00 1.55024E+00
  2.98200E+01 2.51190E-01 1.16500E+02 5.86570E-05 1.33010E-07 2.79099E+00 1.55835E+00
  3.40000E+01 1.99530E-01 1.13500E+02 4.78240E-05 5.67580E-08 2.77144E+00 1.56451E+00
  3.81000E+01 1.58490E-01 1.11500E+02 3.86690E-05 3.13620E-08 2.75856E+00 1.56865E+00
  4.21500E+01 1.25890E-01 1.10300E+02 3.10500E-05 2.17440E-08 2.75089E+00 1.57114E+00
  4.61900E+01 1.00000E-01 1.11500E+02 2.43990E-05 1.72720E-08 2.75856E+00 1.56865E+00
  5.02800E+01 7.94330E-02 1.12800E+02 1.91570E-05 1.37200E-08 2.76692E+00 1.56596E+00
  5.44500E+01 6.30960E-02 1.16000E+02 1.47970E-05 1.08980E-08 2.78771E+00 1.55937E+00
  5.87300E+01 5.01190E-02 1.19000E+02 1.14580E-05 8.65660E-09 2.80750E+00 1.55325E+00
  6.31300E+01 3.98110E-02 1.22500E+02 8.84110E-06 6.87610E-09 2.83014E+00 1.54641E+00
  6.76600E+01 3.16230E-02 1.26000E+02 6.82770E-06 5.46190E-09 2.85206E+00 1.53994E+00
  7.23100E+01 2.51190E-02 1.29000E+02 5.29730E-06 4.33860E-09 2.87041E+00 1.53464E+00
  7.70800E+01 1.99530E-02 1.32000E+02 4.11220E-06 3.44620E-09 2.88837E+00 1.52956E+00
  8.19600E+01 1.58490E-02 1.35500E+02 3.18200E-06 2.73740E-09 2.90883E+00 1.52388E+00
  8.69600E+01 1.25890E-02 1.39000E+02 2.46390E-06 2.17440E-09 2.92874E+00 1.51847E+00
  9.21500E+01 1.00000E-02 1.45000E+02 1.87620E-06 1.72720E-09 2.96162E+00 1.50978E+00
  9.75600E+01 7.94330E-03 1.51700E+02 1.42450E-06 1.37200E-09 2.99646E+00 1.50089E+00
  1.03190E+02 6.30960E-03 1.56500E+02 1.09680E-06 1.08980E-09 3.02021E+00 1.49500E+00
  1.08940E+02 5.01190E-03 1.58500E+02 8.60230E-07 8.65660E-10 3.02980E+00 1.49266E+00
  1.14760E+02 3.98110E-03 1.60000E+02 6.76900E-07 6.87610E-10 3.03688E+00 1.49095E+00
  1.20620E+02 3.16230E-03 1.60833E+02 5.34890E-07 5.46190E-10 3.04077E+00 1.49001E+00
  1.26510E+02 2.51190E-03 1.61667E+02 4.22690E-07 4.33860E-10 3.04463E+00 1.48909E+00
  1.32430E+02 1.99530E-03 1.62500E+02 3.34030E-07 3.44620E-10 3.04846E+00 1.48817E+00
