 Mars sounding data. From LMD Mars Climate Database.
 Hellas Basin ,42.7 south 70.0 east, month 3. Altitude measured relative to the aeroid.
 http://johnson.lmd.jussieu.fr:8080/las/servlets/dataset?catitem=327
 Extended below -6 km artificially ***NEEDS TO BE IMPROVED***
#  Altitiude[km]    Temperature[K]  Pressure[hPa]   Density[kg/m^3]
25
     -14.                148.8           30.65           0.10587              
     -12.                152.5           24.27           0.08203
     -10.                156.2           19.22           0.06356
      -8.                159.9           15.22           0.04925
      -6.                163.6           12.05           0.03816
      -4.                167.3            9.54           0.02957
      -2.                171.8            7.59           0.02299
      0.                 174.2            6.08           0.01839
      2.                 176.2            4.87           0.01462
      4.                 178.0            3.91           0.01171
      6.                 179.2            3.15           0.00933
      8.                 179.9            2.54           0.00763
      10.                180.5            2.04           0.00594
      12.                179.5            1.65           0.00497
      14.                178.4            1.33           0.00406
      16.                177.2            1.07           0.00315
      18.                174.5            0.86           0.00267
      22.                169.0            0.55           0.00172
      26.                163.4            0.35           0.00118
      30.                157.7            0.21           0.00071
      34.                151.9            0.13           0.00049
      38.                146.7            0.08           0.00028
      44.                143.6            0.04           0.00013
      50.                143.4            0.02           0.00006
      56.                145.4            0.01           0.00003
