   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.76305E+00    0.56274E+02  0.45763E-02  0.43931E+00
   0.11868E+03    0.75762E+00    0.56296E+02  0.54230E-02  0.44515E+00
   0.13928E+03    0.74828E+00    0.56548E+02  0.67039E-02  0.45822E+00
   0.16347E+03    0.73857E+00    0.57063E+02  0.85312E-02  0.46375E+00
   0.19186E+03    0.72874E+00    0.57765E+02  0.10988E-01  0.45393E+00
   0.22518E+03    0.71876E+00    0.58622E+02  0.14077E-01  0.43016E+00
   0.26429E+03    0.70938E+00    0.59428E+02  0.17686E-01  0.39887E+00
   0.31018E+03    0.70091E+00    0.60057E+02  0.21578E-01  0.36511E+00
   0.36405E+03    0.69046E+00    0.60531E+02  0.25393E-01  0.32975E+00
   0.42727E+03    0.68076E+00    0.61071E+02  0.28680E-01  0.29318E+00
   0.50147E+03    0.67530E+00    0.61848E+02  0.30956E-01  0.26271E+00
   0.58855E+03    0.66168E+00    0.62952E+02  0.31805E-01  0.25397E+00
   0.69076E+03    0.63983E+00    0.64405E+02  0.30985E-01  0.27458E+00
   0.81072E+03    0.61363E+00    0.66106E+02  0.28510E-01  0.30905E+00
   0.95151E+03    0.58698E+00    0.68839E+02  0.24685E-01  0.33366E+00

   0.21667E+01    0.33213E+00    0.11316E+03  0.10113E-02  0.80495E-02
   0.25430E+01    0.34171E+00    0.10547E+03  0.12016E-02  0.10736E-01
   0.29846E+01    0.35517E+00    0.97785E+02  0.13470E-02  0.13899E-01
   0.35029E+01    0.37660E+00    0.90100E+02  0.14413E-02  0.17712E-01
   0.41112E+01    0.40653E+00    0.82417E+02  0.14941E-02  0.22489E-01
   0.48252E+01    0.43455E+00    0.74736E+02  0.15264E-02  0.28691E-01
   0.56631E+01    0.47960E+00    0.71690E+02  0.15636E-02  0.36912E-01
   0.66466E+01    0.53404E+00    0.69970E+02  0.16291E-02  0.47863E-01
   0.78008E+01    0.56982E+00    0.68255E+02  0.17397E-02  0.62365E-01
   0.91555E+01    0.60521E+00    0.66543E+02  0.19048E-02  0.81335E-01
   0.10745E+02    0.64324E+00    0.65258E+02  0.21272E-02  0.10575E+00
   0.12612E+02    0.66286E+00    0.64498E+02  0.24036E-02  0.13655E+00
   0.14802E+02    0.67935E+00    0.63738E+02  0.27233E-02  0.17447E+00
   0.17372E+02    0.69327E+00    0.63192E+02  0.30680E-02  0.21973E+00
   0.20389E+02    0.70497E+00    0.62656E+02  0.34110E-02  0.27169E+00
   0.23930E+02    0.71609E+00    0.62086E+02  0.37192E-02  0.32846E+00
   0.28085E+02    0.72710E+00    0.61488E+02  0.39576E-02  0.38655E+00
   0.32963E+02    0.73744E+00    0.60852E+02  0.40971E-02  0.44082E+00
   0.38687E+02    0.74436E+00    0.60165E+02  0.41245E-02  0.48494E+00
   0.45405E+02    0.75171E+00    0.59430E+02  0.40522E-02  0.51258E+00
   0.53291E+02    0.75896E+00    0.58654E+02  0.39259E-02  0.51940E+00
   0.62545E+02    0.76016E+00    0.57866E+02  0.38237E-02  0.50565E+00
   0.73407E+02    0.76209E+00    0.57153E+02  0.38423E-02  0.47844E+00
   0.86154E+02    0.76417E+00    0.56625E+02  0.40709E-02  0.45157E+00

   0.11167E+04    0.55514E+00    0.72812E+02  0.20040E-01  0.33326E+00
   0.13107E+04    0.51803E+00    0.77239E+02  0.15206E-01  0.30484E+00
   0.15383E+04    0.48249E+00    0.81796E+02  0.10751E-01  0.25501E+00
   0.18054E+04    0.44846E+00    0.86441E+02  0.70651E-02  0.19524E+00
   0.21190E+04    0.41824E+00    0.91736E+02  0.43058E-02  0.13696E+00
   0.24869E+04    0.39138E+00    0.98124E+02  0.24290E-02  0.88100E-01
   0.29188E+04    0.36910E+00    0.10452E+03  0.12663E-02  0.51999E-01
   0.34257E+04    0.35077E+00    0.11091E+03  0.60917E-03  0.28168E-01
   0.40206E+04    0.33618E+00    0.11730E+03  0.27012E-03  0.14006E-01
   0.47189E+04    0.33584E+00    0.12369E+03  0.11030E-03  0.63916E-02
   0.55383E+04    0.33569E+00    0.12600E+03  0.41432E-04  0.26765E-02
