   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.74879E+00    0.54351E+02  0.37080E-02  0.40192E+00
   0.11868E+03    0.74302E+00    0.54686E+02  0.45275E-02  0.39224E+00
   0.13928E+03    0.73216E+00    0.55120E+02  0.56917E-02  0.39023E+00
   0.16347E+03    0.71938E+00    0.55662E+02  0.72911E-02  0.39023E+00
   0.19186E+03    0.70461E+00    0.56260E+02  0.93853E-02  0.38573E+00
   0.22518E+03    0.68763E+00    0.56949E+02  0.11968E-01  0.37314E+00
   0.26429E+03    0.66914E+00    0.57602E+02  0.14948E-01  0.35173E+00
   0.31018E+03    0.64998E+00    0.58162E+02  0.18138E-01  0.32178E+00
   0.36405E+03    0.62824E+00    0.58685E+02  0.21254E-01  0.28417E+00
   0.42727E+03    0.60814E+00    0.59378E+02  0.23941E-01  0.24300E+00
   0.50147E+03    0.59487E+00    0.60368E+02  0.25815E-01  0.20961E+00
   0.58855E+03    0.57761E+00    0.61680E+02  0.26540E-01  0.20083E+00
   0.69076E+03    0.55722E+00    0.63291E+02  0.25911E-01  0.22043E+00
   0.81072E+03    0.53760E+00    0.65083E+02  0.23926E-01  0.25028E+00
   0.95151E+03    0.52158E+00    0.67866E+02  0.20816E-01  0.26992E+00

   0.21667E+01    0.32667E+00    0.11311E+03  0.98458E-03  0.74761E-02
   0.25430E+01    0.33511E+00    0.10541E+03  0.11773E-02  0.10002E-01
   0.29846E+01    0.34762E+00    0.97704E+02  0.13306E-02  0.12982E-01
   0.35029E+01    0.36834E+00    0.89993E+02  0.14387E-02  0.16562E-01
   0.41112E+01    0.39775E+00    0.82278E+02  0.15106E-02  0.21008E-01
   0.48252E+01    0.42538E+00    0.74556E+02  0.15660E-02  0.26702E-01
   0.56631E+01    0.47000E+00    0.71458E+02  0.16288E-02  0.34122E-01
   0.66466E+01    0.52386E+00    0.69669E+02  0.17197E-02  0.43821E-01
   0.78008E+01    0.55887E+00    0.67862E+02  0.18526E-02  0.56405E-01
   0.91555E+01    0.59318E+00    0.66030E+02  0.20326E-02  0.72516E-01
   0.10745E+02    0.62989E+00    0.64593E+02  0.22563E-02  0.92801E-01
   0.12612E+02    0.64792E+00    0.63643E+02  0.25128E-02  0.11786E+00
   0.14802E+02    0.66268E+00    0.62649E+02  0.27833E-02  0.14812E+00
   0.17372E+02    0.67484E+00    0.61828E+02  0.30421E-02  0.18371E+00
   0.20389E+02    0.68491E+00    0.60976E+02  0.32587E-02  0.22427E+00
   0.23930E+02    0.69472E+00    0.60062E+02  0.34019E-02  0.26866E+00
   0.28085E+02    0.70488E+00    0.59116E+02  0.34466E-02  0.31483E+00
   0.32963E+02    0.71502E+00    0.58156E+02  0.33818E-02  0.35973E+00
   0.38687E+02    0.72241E+00    0.57215E+02  0.32201E-02  0.39938E+00
   0.45405E+02    0.73084E+00    0.56332E+02  0.30043E-02  0.42948E+00
   0.53291E+02    0.73958E+00    0.55549E+02  0.28085E-02  0.44637E+00
   0.62545E+02    0.74252E+00    0.54908E+02  0.27254E-02  0.44840E+00
   0.73407E+02    0.74603E+00    0.54478E+02  0.28305E-02  0.43737E+00
   0.86154E+02    0.74934E+00    0.54322E+02  0.31548E-02  0.41911E+00

   0.11167E+04    0.50271E+00    0.71883E+02  0.17002E-01  0.26844E+00
   0.13107E+04    0.47893E+00    0.76381E+02  0.12992E-01  0.24465E+00
   0.15383E+04    0.45545E+00    0.81052E+02  0.92617E-02  0.20429E+00
   0.18054E+04    0.43115E+00    0.85842E+02  0.61425E-02  0.15647E+00
   0.21190E+04    0.40800E+00    0.91294E+02  0.37815E-02  0.11001E+00
   0.24869E+04    0.38579E+00    0.97825E+02  0.21568E-02  0.71046E-01
   0.29188E+04    0.36629E+00    0.10433E+03  0.11378E-02  0.42157E-01
   0.34257E+04    0.34947E+00    0.11080E+03  0.55434E-03  0.22987E-01
   0.40206E+04    0.33563E+00    0.11725E+03  0.24915E-03  0.11517E-01
   0.47189E+04    0.33562E+00    0.12367E+03  0.10319E-03  0.53010E-02
   0.55383E+04    0.33561E+00    0.12599E+03  0.39350E-04  0.22410E-02
