   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.76944E+00    0.53339E+02  0.27021E-02  0.18896E+00
   0.11868E+03    0.76921E+00    0.53825E+02  0.35168E-02  0.18725E+00
   0.13928E+03    0.76695E+00    0.54391E+02  0.45264E-02  0.18298E+00
   0.16347E+03    0.76566E+00    0.54845E+02  0.57107E-02  0.17501E+00
   0.19186E+03    0.76441E+00    0.55252E+02  0.70107E-02  0.16324E+00
   0.22518E+03    0.76177E+00    0.55706E+02  0.83258E-02  0.14836E+00
   0.26429E+03    0.75673E+00    0.56324E+02  0.95199E-02  0.13174E+00
   0.31018E+03    0.74823E+00    0.57055E+02  0.10437E-01  0.11560E+00
   0.36405E+03    0.73260E+00    0.58509E+02  0.10930E-01  0.10364E+00
   0.42727E+03    0.71290E+00    0.60193E+02  0.10891E-01  0.10020E+00
   0.50147E+03    0.69395E+00    0.61502E+02  0.10287E-01  0.10602E+00
   0.58855E+03    0.66564E+00    0.63623E+02  0.91765E-02  0.11570E+00
   0.69076E+03    0.63043E+00    0.66391E+02  0.77028E-02  0.12186E+00
   0.81072E+03    0.59437E+00    0.69397E+02  0.60642E-02  0.11971E+00
   0.95151E+03    0.56244E+00    0.72212E+02  0.44644E-02  0.10829E+00

   0.21667E+01    0.33664E+00    0.12014E+03  0.18176E-02  0.11807E-01
   0.25430E+01    0.34723E+00    0.11505E+03  0.22474E-02  0.15986E-01
   0.29846E+01    0.36152E+00    0.10997E+03  0.26140E-02  0.20717E-01
   0.35029E+01    0.38348E+00    0.10326E+03  0.28752E-02  0.25883E-01
   0.41112E+01    0.41360E+00    0.95196E+02  0.30074E-02  0.31400E-01
   0.48252E+01    0.44148E+00    0.89239E+02  0.30093E-02  0.37266E-01
   0.56631E+01    0.48612E+00    0.81957E+02  0.28997E-02  0.43593E-01
   0.66466E+01    0.53996E+00    0.72601E+02  0.27109E-02  0.50623E-01
   0.78008E+01    0.57509E+00    0.69166E+02  0.24799E-02  0.58722E-01
   0.91555E+01    0.60985E+00    0.65376E+02  0.22397E-02  0.68323E-01
   0.10745E+02    0.64739E+00    0.61167E+02  0.20137E-02  0.79849E-01
   0.12612E+02    0.66662E+00    0.59692E+02  0.18126E-02  0.93590E-01
   0.14802E+02    0.68287E+00    0.58230E+02  0.16362E-02  0.10958E+00
   0.17372E+02    0.69667E+00    0.57023E+02  0.14769E-02  0.12745E+00
   0.20389E+02    0.70831E+00    0.56082E+02  0.13252E-02  0.14638E+00
   0.23930E+02    0.71939E+00    0.55215E+02  0.11763E-02  0.16503E+00
   0.28085E+02    0.73026E+00    0.54404E+02  0.10345E-02  0.18172E+00
   0.32963E+02    0.74036E+00    0.53700E+02  0.91740E-03  0.19466E+00
   0.38687E+02    0.74687E+00    0.53336E+02  0.85622E-03  0.20245E+00
   0.45405E+02    0.75371E+00    0.52982E+02  0.88426E-03  0.20465E+00
   0.53291E+02    0.76039E+00    0.52597E+02  0.10173E-02  0.20220E+00
   0.62545E+02    0.76134E+00    0.52958E+02  0.12543E-02  0.19737E+00
   0.73407E+02    0.76366E+00    0.53085E+02  0.15994E-02  0.19283E+00
   0.86154E+02    0.76733E+00    0.53124E+02  0.20720E-02  0.19017E+00

   0.11167E+04    0.52985E+00    0.75338E+02  0.30655E-02  0.89856E-01
   0.13107E+04    0.49545E+00    0.79686E+02  0.19590E-02  0.68343E-01
   0.15383E+04    0.46454E+00    0.84104E+02  0.11629E-02  0.47654E-01
   0.18054E+04    0.43560E+00    0.89087E+02  0.64028E-03  0.30472E-01
   0.21190E+04    0.40988E+00    0.94316E+02  0.32654E-03  0.17874E-01
   0.24869E+04    0.38642E+00    0.10008E+03  0.15407E-03  0.96190E-02
   0.29188E+04    0.36641E+00    0.10589E+03  0.67190E-04  0.47488E-02
   0.34257E+04    0.34944E+00    0.11171E+03  0.27055E-04  0.21505E-02
   0.40206E+04    0.33558E+00    0.11751E+03  0.10050E-04  0.89304E-03
   0.47189E+04    0.33559E+00    0.12332E+03  0.34406E-05  0.34000E-03
   0.55383E+04    0.33559E+00    0.12913E+03  0.10846E-05  0.11863E-03
