   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.77259E+00    0.53503E+02  0.58564E-02  0.50051E+00
   0.11868E+03    0.76927E+00    0.53496E+02  0.75931E-02  0.49902E+00
   0.13928E+03    0.76243E+00    0.53639E+02  0.97704E-02  0.50158E+00
   0.16347E+03    0.75480E+00    0.53805E+02  0.12403E-01  0.49963E+00
   0.19186E+03    0.74534E+00    0.54106E+02  0.15459E-01  0.48605E+00
   0.22518E+03    0.73283E+00    0.54656E+02  0.18832E-01  0.45694E+00
   0.26429E+03    0.71695E+00    0.55557E+02  0.22315E-01  0.41164E+00
   0.31018E+03    0.69774E+00    0.56705E+02  0.25593E-01  0.35348E+00
   0.36405E+03    0.67296E+00    0.58632E+02  0.28258E-01  0.29209E+00
   0.42727E+03    0.64705E+00    0.60764E+02  0.29872E-01  0.24557E+00
   0.50147E+03    0.62589E+00    0.62421E+02  0.30082E-01  0.23349E+00
   0.58855E+03    0.59983E+00    0.64740E+02  0.28727E-01  0.25334E+00
   0.69076E+03    0.57094E+00    0.67549E+02  0.25913E-01  0.28038E+00
   0.81072E+03    0.54414E+00    0.70457E+02  0.22011E-01  0.29356E+00
   0.95151E+03    0.52289E+00    0.73082E+02  0.17558E-01  0.28418E+00

   0.21667E+01    0.34374E+00    0.12018E+03  0.28924E-02  0.19401E-01
   0.25430E+01    0.35634E+00    0.11511E+03  0.35769E-02  0.26295E-01
   0.29846E+01    0.37255E+00    0.11005E+03  0.41614E-02  0.34124E-01
   0.35029E+01    0.39619E+00    0.10337E+03  0.45792E-02  0.42715E-01
   0.41112E+01    0.42761E+00    0.95340E+02  0.47930E-02  0.51973E-01
   0.48252E+01    0.45634E+00    0.89424E+02  0.48013E-02  0.61962E-01
   0.56631E+01    0.50138E+00    0.82193E+02  0.46351E-02  0.72981E-01
   0.66466E+01    0.55522E+00    0.72896E+02  0.43471E-02  0.85615E-01
   0.78008E+01    0.59010E+00    0.69532E+02  0.39984E-02  0.10074E+00
   0.91555E+01    0.62446E+00    0.65827E+02  0.36445E-02  0.11947E+00
   0.10745E+02    0.66157E+00    0.61722E+02  0.33262E-02  0.14305E+00
   0.12612E+02    0.68044E+00    0.60371E+02  0.30648E-02  0.17269E+00
   0.14802E+02    0.69639E+00    0.59056E+02  0.28628E-02  0.20927E+00
   0.17372E+02    0.70991E+00    0.58017E+02  0.27088E-02  0.25311E+00
   0.20389E+02    0.72123E+00    0.57259E+02  0.25855E-02  0.30359E+00
   0.23930E+02    0.73185E+00    0.56579E+02  0.24768E-02  0.35877E+00
   0.28085E+02    0.74214E+00    0.55946E+02  0.23755E-02  0.41524E+00
   0.32963E+02    0.75152E+00    0.55387E+02  0.22886E-02  0.46813E+00
   0.38687E+02    0.75722E+00    0.55110E+02  0.22419E-02  0.51174E+00
   0.45405E+02    0.76316E+00    0.54758E+02  0.22816E-02  0.54071E+00
   0.53291E+02    0.76896E+00    0.54268E+02  0.24702E-02  0.55189E+00
   0.62545E+02    0.76899E+00    0.54403E+02  0.28722E-02  0.54617E+00
   0.73407E+02    0.77025E+00    0.54187E+02  0.35411E-02  0.52949E+00
   0.86154E+02    0.77252E+00    0.53784E+02  0.45212E-02  0.51139E+00

   0.11167E+04    0.50084E+00    0.75984E+02  0.13124E-01  0.25332E+00
   0.13107E+04    0.47566E+00    0.80116E+02  0.91751E-02  0.20800E+00
   0.15383E+04    0.45201E+00    0.84362E+02  0.59881E-02  0.15745E+00
   0.18054E+04    0.42823E+00    0.89222E+02  0.36421E-02  0.10993E+00
   0.21190E+04    0.40586E+00    0.94377E+02  0.20609E-02  0.70806E-01
   0.24869E+04    0.38440E+00    0.10010E+03  0.10831E-02  0.42061E-01
   0.29188E+04    0.36547E+00    0.10589E+03  0.52772E-03  0.23033E-01
   0.34257E+04    0.34904E+00    0.11171E+03  0.23798E-03  0.11619E-01
   0.40206E+04    0.33542E+00    0.11751E+03  0.99164E-04  0.53960E-02
   0.47189E+04    0.33553E+00    0.12332E+03  0.38123E-04  0.23050E-02
   0.55383E+04    0.33558E+00    0.12913E+03  0.13502E-04  0.90495E-03
