   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.77465E+00    0.53076E+02  0.55758E-02  0.45387E+00
   0.11868E+03    0.76944E+00    0.52871E+02  0.70702E-02  0.45155E+00
   0.13928E+03    0.75963E+00    0.52857E+02  0.89203E-02  0.45446E+00
   0.16347E+03    0.74763E+00    0.52936E+02  0.11128E-01  0.45509E+00
   0.19186E+03    0.73238E+00    0.53248E+02  0.13674E-01  0.44624E+00
   0.22518E+03    0.71278E+00    0.53910E+02  0.16492E-01  0.42307E+00
   0.26429E+03    0.68905E+00    0.55011E+02  0.19446E-01  0.38346E+00
   0.31018E+03    0.66207E+00    0.56414E+02  0.22300E-01  0.32890E+00
   0.36405E+03    0.63062E+00    0.58607E+02  0.24716E-01  0.26677E+00
   0.42727E+03    0.60018E+00    0.60965E+02  0.26305E-01  0.21400E+00
   0.50147E+03    0.57748E+00    0.62773E+02  0.26721E-01  0.19440E+00
   0.58855E+03    0.55308E+00    0.65150E+02  0.25773E-01  0.21212E+00
   0.69076E+03    0.52875E+00    0.67926E+02  0.23505E-01  0.24125E+00
   0.81072E+03    0.50857E+00    0.70745E+02  0.20202E-01  0.25821E+00
   0.95151E+03    0.49490E+00    0.73255E+02  0.16322E-01  0.25365E+00

   0.21667E+01    0.34908E+00    0.12022E+03  0.23878E-02  0.16195E-01
   0.25430E+01    0.36279E+00    0.11516E+03  0.29540E-02  0.21952E-01
   0.29846E+01    0.37985E+00    0.11011E+03  0.34384E-02  0.28488E-01
   0.35029E+01    0.40396E+00    0.10344E+03  0.37860E-02  0.35660E-01
   0.41112E+01    0.43542E+00    0.95426E+02  0.39662E-02  0.43389E-01
   0.48252E+01    0.46378E+00    0.89518E+02  0.39779E-02  0.51734E-01
   0.56631E+01    0.50816E+00    0.82294E+02  0.38470E-02  0.60956E-01
   0.66466E+01    0.56116E+00    0.73002E+02  0.36176E-02  0.71562E-01
   0.78008E+01    0.59517E+00    0.69643E+02  0.33408E-02  0.84315E-01
   0.91555E+01    0.62874E+00    0.65944E+02  0.30639E-02  0.10020E+00
   0.10745E+02    0.66520E+00    0.61848E+02  0.28223E-02  0.12032E+00
   0.12612E+02    0.68360E+00    0.60510E+02  0.26355E-02  0.14578E+00
   0.14802E+02    0.69924E+00    0.59210E+02  0.25076E-02  0.17747E+00
   0.17372E+02    0.71262E+00    0.58192E+02  0.24310E-02  0.21580E+00
   0.20389E+02    0.72390E+00    0.57461E+02  0.23921E-02  0.26038E+00
   0.23930E+02    0.73460E+00    0.56809E+02  0.23767E-02  0.30977E+00
   0.28085E+02    0.74503E+00    0.56203E+02  0.23752E-02  0.36112E+00
   0.32963E+02    0.75457E+00    0.55663E+02  0.23868E-02  0.41029E+00
   0.38687E+02    0.76046E+00    0.55391E+02  0.24224E-02  0.45219E+00
   0.45405E+02    0.76659E+00    0.55018E+02  0.25083E-02  0.48181E+00
   0.53291E+02    0.77257E+00    0.54473E+02  0.26892E-02  0.49577E+00
   0.62545E+02    0.77266E+00    0.54508E+02  0.30262E-02  0.49404E+00
   0.73407E+02    0.77381E+00    0.54147E+02  0.35854E-02  0.48103E+00
   0.86154E+02    0.77562E+00    0.53560E+02  0.44224E-02  0.46486E+00

   0.11167E+04    0.48028E+00    0.76051E+02  0.12369E-01  0.22844E+00
   0.13107E+04    0.46158E+00    0.80108E+02  0.87759E-02  0.18914E+00
   0.15383E+04    0.44302E+00    0.84312E+02  0.58186E-02  0.14431E+00
   0.18054E+04    0.42289E+00    0.89160E+02  0.35987E-02  0.10162E+00
   0.21190E+04    0.40291E+00    0.94322E+02  0.20723E-02  0.66073E-01
   0.24869E+04    0.38288E+00    0.10006E+03  0.11090E-02  0.39671E-01
   0.29188E+04    0.36476E+00    0.10587E+03  0.55052E-03  0.21986E-01
   0.34257E+04    0.34872E+00    0.11169E+03  0.25302E-03  0.11240E-01
   0.40206E+04    0.33529E+00    0.11750E+03  0.10747E-03  0.52964E-02
   0.47189E+04    0.33548E+00    0.12331E+03  0.42125E-04  0.22983E-02
   0.55383E+04    0.33556E+00    0.12913E+03  0.15213E-04  0.91758E-03
