   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.77829E+00    0.51409E+02  0.54875E-02  0.55221E+00
   0.11868E+03    0.77764E+00    0.51709E+02  0.69490E-02  0.54559E+00
   0.13928E+03    0.77415E+00    0.52176E+02  0.88087E-02  0.54149E+00
   0.16347E+03    0.77092E+00    0.52647E+02  0.11127E-01  0.53482E+00
   0.19186E+03    0.76723E+00    0.53195E+02  0.13927E-01  0.51955E+00
   0.22518E+03    0.76184E+00    0.53911E+02  0.17162E-01  0.49076E+00
   0.26429E+03    0.75400E+00    0.54894E+02  0.20683E-01  0.44578E+00
   0.31018E+03    0.74277E+00    0.56067E+02  0.24209E-01  0.38581E+00
   0.36405E+03    0.72446E+00    0.58023E+02  0.27330E-01  0.31863E+00
   0.42727E+03    0.70204E+00    0.60247E+02  0.29563E-01  0.26184E+00
   0.50147E+03    0.68040E+00    0.62103E+02  0.30462E-01  0.23894E+00
   0.58855E+03    0.64965E+00    0.64732E+02  0.29756E-01  0.25432E+00
   0.69076E+03    0.61265E+00    0.67912E+02  0.27444E-01  0.28272E+00
   0.81072E+03    0.57586E+00    0.71174E+02  0.23823E-01  0.29877E+00
   0.95151E+03    0.54455E+00    0.74053E+02  0.19414E-01  0.29140E+00

   0.21667E+01    0.33762E+00    0.12015E+03  0.34319E-02  0.21995E-01
   0.25430E+01    0.34838E+00    0.11506E+03  0.42512E-02  0.29832E-01
   0.29846E+01    0.36276E+00    0.10998E+03  0.49563E-02  0.38741E-01
   0.35029E+01    0.38472E+00    0.10327E+03  0.54686E-02  0.48515E-01
   0.41112E+01    0.41475E+00    0.95211E+02  0.57440E-02  0.59017E-01
   0.48252E+01    0.44246E+00    0.89252E+02  0.57810E-02  0.70263E-01
   0.56631E+01    0.48687E+00    0.81972E+02  0.56159E-02  0.82499E-01
   0.66466E+01    0.54045E+00    0.72611E+02  0.53112E-02  0.96244E-01
   0.78008E+01    0.57533E+00    0.69174E+02  0.49386E-02  0.11230E+00
   0.91555E+01    0.60987E+00    0.65377E+02  0.45625E-02  0.13168E+00
   0.10745E+02    0.64721E+00    0.61159E+02  0.42284E-02  0.15552E+00
   0.12612E+02    0.66630E+00    0.59671E+02  0.39563E-02  0.18485E+00
   0.14802E+02    0.68249E+00    0.58190E+02  0.37425E-02  0.22043E+00
   0.17372E+02    0.69632E+00    0.56956E+02  0.35660E-02  0.26253E+00
   0.20389E+02    0.70810E+00    0.55975E+02  0.33980E-02  0.31063E+00
   0.23930E+02    0.71947E+00    0.55050E+02  0.32135E-02  0.36324E+00
   0.28085E+02    0.73085E+00    0.54159E+02  0.30013E-02  0.41772E+00
   0.32963E+02    0.74167E+00    0.53346E+02  0.27733E-02  0.47031E+00
   0.38687E+02    0.74917E+00    0.52838E+02  0.25718E-02  0.51649E+00
   0.45405E+02    0.75720E+00    0.52303E+02  0.24715E-02  0.55175E+00
   0.53291E+02    0.76529E+00    0.51703E+02  0.25611E-02  0.57287E+00
   0.62545E+02    0.76766E+00    0.51815E+02  0.29001E-02  0.57929E+00
   0.73407E+02    0.77126E+00    0.51672E+02  0.34993E-02  0.57396E+00
   0.86154E+02    0.77583E+00    0.51439E+02  0.43550E-02  0.56280E+00

   0.11167E+04    0.51384E+00    0.77059E+02  0.14819E-01  0.26120E+00
   0.13107E+04    0.48225E+00    0.81143E+02  0.10575E-01  0.21551E+00
   0.15383E+04    0.45453E+00    0.85228E+02  0.70415E-02  0.16403E+00
   0.18054E+04    0.42862E+00    0.89876E+02  0.43675E-02  0.11536E+00
   0.21190E+04    0.40541E+00    0.94822E+02  0.25188E-02  0.75022E-01
   0.24869E+04    0.38379E+00    0.10037E+03  0.13483E-02  0.45127E-01
   0.29188E+04    0.36500E+00    0.10605E+03  0.66870E-03  0.25096E-01
   0.34257E+04    0.34874E+00    0.11178E+03  0.30678E-03  0.12892E-01
   0.40206E+04    0.33526E+00    0.11754E+03  0.12998E-03  0.61103E-02
   0.47189E+04    0.33546E+00    0.12333E+03  0.50789E-04  0.26688E-02
   0.55383E+04    0.33555E+00    0.12914E+03  0.18277E-04  0.10727E-02
