   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.74349E+00    0.50432E+02  0.17001E-01  0.74331E+00
   0.11868E+03    0.73215E+00    0.51055E+02  0.20461E-01  0.73174E+00
   0.13928E+03    0.71562E+00    0.51915E+02  0.24107E-01  0.70430E+00
   0.16347E+03    0.69771E+00    0.52831E+02  0.27707E-01  0.65759E+00
   0.19186E+03    0.67912E+00    0.53823E+02  0.30946E-01  0.59080E+00
   0.22518E+03    0.66045E+00    0.54876E+02  0.33455E-01  0.50806E+00
   0.26429E+03    0.64302E+00    0.55964E+02  0.34876E-01  0.42324E+00
   0.31018E+03    0.62781E+00    0.56904E+02  0.34939E-01  0.36555E+00
   0.36405E+03    0.61244E+00    0.58245E+02  0.33528E-01  0.36713E+00
   0.42727E+03    0.60004E+00    0.59531E+02  0.30718E-01  0.41992E+00
   0.50147E+03    0.59441E+00    0.60290E+02  0.26777E-01  0.48027E+00
   0.58855E+03    0.58336E+00    0.61884E+02  0.22127E-01  0.51235E+00
   0.69076E+03    0.56689E+00    0.64308E+02  0.17266E-01  0.50066E+00
   0.81072E+03    0.54864E+00    0.67233E+02  0.12672E-01  0.44711E+00
   0.95151E+03    0.53188E+00    0.70223E+02  0.87142E-02  0.36529E+00

   0.21667E+01    0.31651E+00    0.12002E+03  0.10746E-01  0.63820E-01
   0.25430E+01    0.32191E+00    0.11489E+03  0.13283E-01  0.86285E-01
   0.29846E+01    0.33145E+00    0.10975E+03  0.15443E-01  0.11164E+00
   0.35029E+01    0.34961E+00    0.10298E+03  0.16975E-01  0.13919E+00
   0.41112E+01    0.37721E+00    0.94839E+02  0.17738E-01  0.16834E+00
   0.48252E+01    0.40395E+00    0.88797E+02  0.17724E-01  0.19881E+00
   0.56631E+01    0.44871E+00    0.81420E+02  0.17044E-01  0.23075E+00
   0.66466E+01    0.50365E+00    0.71953E+02  0.15889E-01  0.26482E+00
   0.78008E+01    0.54050E+00    0.68392E+02  0.14476E-01  0.30209E+00
   0.91555E+01    0.57727E+00    0.64456E+02  0.12999E-01  0.34377E+00
   0.10745E+02    0.61678E+00    0.60077E+02  0.11596E-01  0.39078E+00
   0.12612E+02    0.63785E+00    0.58404E+02  0.10332E-01  0.44329E+00
   0.14802E+02    0.65581E+00    0.56723E+02  0.92126E-02  0.50025E+00
   0.17372E+02    0.67128E+00    0.55280E+02  0.82047E-02  0.55916E+00
   0.20389E+02    0.68466E+00    0.54099E+02  0.72715E-02  0.61612E+00
   0.23930E+02    0.69772E+00    0.52999E+02  0.64065E-02  0.66644E+00
   0.28085E+02    0.71082E+00    0.51987E+02  0.56656E-02  0.70561E+00
   0.32963E+02    0.72332E+00    0.51117E+02  0.51915E-02  0.73077E+00
   0.38687E+02    0.73222E+00    0.50633E+02  0.51913E-02  0.74199E+00
   0.45405E+02    0.74106E+00    0.50201E+02  0.58172E-02  0.74291E+00
   0.53291E+02    0.74897E+00    0.49764E+02  0.70688E-02  0.73968E+00
   0.62545E+02    0.74982E+00    0.50083E+02  0.88665E-02  0.73814E+00
   0.73407E+02    0.75006E+00    0.50172E+02  0.11146E-01  0.74049E+00
   0.86154E+02    0.74909E+00    0.50188E+02  0.13871E-01  0.74414E+00

   0.11167E+04    0.51096E+00    0.73700E+02  0.55947E-02  0.27337E+00
   0.13107E+04    0.48469E+00    0.78468E+02  0.33429E-02  0.18759E+00
   0.15383E+04    0.45893E+00    0.83283E+02  0.18539E-02  0.11810E+00
   0.18054E+04    0.43292E+00    0.88582E+02  0.95199E-03  0.68233E-01
   0.21190E+04    0.40871E+00    0.94034E+02  0.45182E-03  0.36182E-01
   0.24869E+04    0.38597E+00    0.99934E+02  0.19788E-03  0.17608E-01
   0.29188E+04    0.36626E+00    0.10582E+03  0.79874E-04  0.78627E-02
   0.34257E+04    0.34939E+00    0.11168E+03  0.29683E-04  0.32207E-02
   0.40206E+04    0.33557E+00    0.11750E+03  0.10147E-04  0.12098E-02
   0.47189E+04    0.33559E+00    0.12331E+03  0.31887E-05  0.41660E-03
   0.55383E+04    0.33560E+00    0.12913E+03  0.92054E-06  0.13146E-03
