   Data from
     Borysow A, 2002, Collision-induced absorption coefficients
       of H2 pairs at temperatures from 60 K to 1000 K,
       Astron. Astrophys. 390, 779-782, doi: 10.1051/0004-6361:20020555
  
   No. temperatures:    7
   No. rows:         1649
   What follows was obtained in August 2011 from the link
     http://www.astro.ku.dk/~aborysow/programs/final_CIA_LT.dat

     CIA spectra of H2-H2 from 60 to 350K, in  cm^{-1}/amagat^{2}
     freq  60K       100K     150K       200K      250K      300K      350K
   (cm^-1) 
    10.0 1.138E-08 1.015E-08 7.111E-09 5.262E-09 4.133E-09 3.393E-09 2.878E-09
    20.0 3.878E-08 3.703E-08 2.681E-08 2.016E-08 1.599E-08 1.321E-08 1.125E-08
    30.0 6.968E-08 7.259E-08 5.510E-08 4.244E-08 3.413E-08 2.846E-08 2.439E-08
    40.0 9.563E-08 1.091E-07 8.735E-08 6.924E-08 5.667E-08 4.781E-08 4.133E-08
    50.0 1.137E-07 1.413E-07 1.196E-07 9.786E-08 8.170E-08 6.986E-08 6.099E-08
    60.0 1.244E-07 1.670E-07 1.493E-07 1.261E-07 1.075E-07 9.331E-08 8.233E-08
    70.0 1.291E-07 1.858E-07 1.748E-07 1.525E-07 1.329E-07 1.171E-07 1.045E-07
    80.0 1.295E-07 1.982E-07 1.957E-07 1.761E-07 1.568E-07 1.403E-07 1.267E-07
    90.0 1.270E-07 2.053E-07 2.120E-07 1.965E-07 1.788E-07 1.625E-07 1.485E-07
   100.0 1.227E-07 2.082E-07 2.240E-07 2.138E-07 1.985E-07 1.833E-07 1.694E-07
   110.0 1.172E-07 2.079E-07 2.325E-07 2.280E-07 2.159E-07 2.024E-07 1.894E-07
   120.0 1.112E-07 2.054E-07 2.382E-07 2.396E-07 2.313E-07 2.200E-07 2.082E-07
   130.0 1.049E-07 2.014E-07 2.416E-07 2.490E-07 2.448E-07 2.361E-07 2.259E-07
   140.0 9.882E-08 1.965E-07 2.435E-07 2.568E-07 2.568E-07 2.510E-07 2.427E-07
   150.0 9.304E-08 1.914E-07 2.446E-07 2.636E-07 2.678E-07 2.651E-07 2.588E-07
   160.0 8.780E-08 1.867E-07 2.455E-07 2.699E-07 2.783E-07 2.785E-07 2.744E-07
   170.0 8.333E-08 1.828E-07 2.469E-07 2.764E-07 2.888E-07 2.919E-07 2.899E-07
   180.0 7.990E-08 1.806E-07 2.496E-07 2.837E-07 2.998E-07 3.057E-07 3.056E-07
   190.0 7.791E-08 1.807E-07 2.545E-07 2.928E-07 3.120E-07 3.203E-07 3.220E-07
   200.0 7.796E-08 1.841E-07 2.625E-07 3.044E-07 3.262E-07 3.364E-07 3.396E-07
   210.0 8.098E-08 1.922E-07 2.748E-07 3.194E-07 3.432E-07 3.547E-07 3.588E-07
   220.0 8.841E-08 2.066E-07 2.929E-07 3.391E-07 3.637E-07 3.758E-07 3.803E-07
   230.0 1.025E-07 2.299E-07 3.187E-07 3.648E-07 3.888E-07 4.004E-07 4.045E-07
   240.0 1.270E-07 2.654E-07 3.543E-07 3.981E-07 4.197E-07 4.293E-07 4.321E-07
   250.0 1.675E-07 3.177E-07 4.028E-07 4.406E-07 4.574E-07 4.634E-07 4.637E-07
   260.0 2.334E-07 3.932E-07 4.675E-07 4.945E-07 5.032E-07 5.036E-07 4.999E-07
   270.0 3.392E-07 5.009E-07 5.528E-07 5.619E-07 5.584E-07 5.506E-07 5.414E-07
   280.0 5.086E-07 6.524E-07 6.634E-07 6.451E-07 6.240E-07 6.050E-07 5.885E-07
   290.0 7.785E-07 8.628E-07 8.043E-07 7.457E-07 7.010E-07 6.674E-07 6.415E-07
   300.0 1.206E-06 1.150E-06 9.798E-07 8.650E-07 7.895E-07 7.378E-07 7.006E-07
   310.0 1.873E-06 1.531E-06 1.192E-06 1.002E-06 8.888E-07 8.156E-07 7.652E-07
   320.0 2.881E-06 2.016E-06 1.438E-06 1.155E-06 9.968E-07 8.994E-07 8.346E-07
   330.0 4.313E-06 2.594E-06 1.706E-06 1.316E-06 1.109E-06 9.866E-07 9.070E-07
   340.0 6.117E-06 3.213E-06 1.974E-06 1.474E-06 1.221E-06 1.074E-06 9.804E-07
   350.0 7.928E-06 3.769E-06 2.209E-06 1.615E-06 1.323E-06 1.157E-06 1.052E-06
   360.0 9.103E-06 4.141E-06 2.378E-06 1.726E-06 1.411E-06 1.233E-06 1.120E-06
   370.0 9.288E-06 4.264E-06 2.464E-06 1.800E-06 1.479E-06 1.298E-06 1.184E-06
   380.0 8.703E-06 4.163E-06 2.469E-06 1.836E-06 1.530E-06 1.355E-06 1.243E-06
   390.0 7.750E-06 3.914E-06 2.413E-06 1.844E-06 1.566E-06 1.405E-06 1.299E-06
