 American Society for Testing and Materials (ASTM)
 Solar Spectra: Standard Air Mass Zero
 2000 ASTM Standard Extraterrestrial Spectrum, Reference E-490-00
 Solar constant = 1366.1 [W/m2]
 Data obtained August 2011 from
 http://rredc.nrel.gov/solar/spectra/am0/ASTM2000.html

 No. rows: 1697
 Wavelength[micron]  Irradiance[W/m2/micron]
     .1195               .0619
     .1205               .5614
     .1215              4.9010
     .1225              1.1840
     .1235               .0477
     .1245               .0343
     .1255               .0288
     .1265               .0352
     .1275               .0213
     .1285               .0173
     .1295               .0399
     .1305               .1206
     .1315               .0398
     .1325               .0413
     .1335               .1680
     .1345               .0457
     .1355               .0380
     .1365               .0309
     .1375               .0292
     .1385               .0397
     .1395               .0756
     .1405               .0608
     .1415               .0421
     .1425               .0468
     .1435               .0511
     .1445               .0509
     .1455               .0554
     .1465               .0709
     .1475               .0849
     .1485               .0820
     .1495               .0796
     .1505               .0870
     .1515               .0927
     .1525               .1163
     .1535               .1299
     .1545               .2059
     .1555               .2144
     .1565               .1847
     .1575               .1717
     .1585               .1675
     .1595               .1754
     .1605               .1934
     .1615               .2228
     .1625               .2519
     .1635               .2841
     .1645               .2973
     .1655               .4302
     .1665               .3989
     .1675               .3875
     .1685               .4556
     .1695               .5877
     .1705               .6616
     .1715               .6880
     .1725               .7252
     .1735               .7645
     .1745               .9067
     .1755              1.079
     .1765              1.220
     .1775              1.403
     .1785              1.538
     .1795              1.576
     .1805              1.831
     .1815              2.233
     .1825              2.243
     .1835              2.244
     .1845              2.066
     .1855              2.311
     .1865              2.700
     .1875              3.009
     .1885              3.291
     .1895              3.569
     .1905              3.764
     .1915              4.165
     .1925              4.113
     .1935              3.808
     .1945              5.210
     .1955              5.427
     .1965              6.008
     .1975              6.191
     .1985              6.187
     .1995              6.664
     .2005              7.326
     .2015              8.023
     .2025              8.261
     .2035              9.217
     .2045             10.25
     .2055             10.54
     .2065             11.08
     .2075             12.65
     .2085             15.05
     .2095             21.38
     .2105             27.92
     .2115             33.54
     .2125             31.30
     .2135             33.15
     .2145             40.03
     .2155             36.15
     .2165             32.27
     .2175             35.29
     .2185             44.37
     .2195             46.92
     .2205             47.33
     .2215             39.58
     .2225             49.65
     .2235             63.01
     .2245             58.97
     .2255             52.29
     .2265             39.40
     .2275             39.92
     .2285             51.95
     .2295             47.71
     .2305             52.12
     .2315             50.97
     .2325             53.26
     .2335             44.74
     .2345             38.97
     .2355             51.42
     .2365             48.59
     .2375             48.44
     .2385             41.96
     .2395             44.12
     .2405             39.56
     .2415             51.48
     .2425             70.60
     .2435             66.53
     .2445             60.97
     .2455             49.39
     .2465             50.40
     .2475             55.50
     .2485             45.65
     .2495             56.38
     .2505             60.10
     .2515             46.01
     .2525             41.55
     .2535             51.55
     .2545             59.57
     .2555             79.3
     .2565            101.8
     .2575            125.4
     .2585            125.1
     .2595            104.0
     .2605             85.51
     .2615             89.8
     .2625            103.6
     .2635            165.8
     .2645            249.7
     .2655            252.7
     .2665            249.4
     .2675            250.8
     .2685            243.8
     .2695            238.9
     .2705            267.3
     .2715            224.4
     .2725            197.4
     .2735            196.5
     .2745            132.6
     .2755            175.1
     .2765            242.8
     .2775            233.8
     .2785            159.3
     .2795             85.55
     .2805             94.63
     .2815            208.3
     .2825            294.1
     .2835            313.5
     .2845            235.3
     .2855            163.1
     .2865            322.7
     .2875            336.3
     .2885            322.2
     .2895            472.7
     .2905            601.3
     .2915            580.8
     .2925            521.9
     .2935            535.5
     .2945            508.8
     .2955            553.2
     .2965            509.6
     .2975            507.3
     .2985            465.5
     .2995            484.0
     .3005            420.0
     .3015            455.5
     .3025            489.0
     .3035            620.6
     .3045            602.5
     .3055            594.8
     .3065            555.7
     .3075            615.0
     .3085            611.4
     .3095            496.5
     .3105            622.4
     .3115            729.2
     .3125            655.9
     .3135            699.9
     .3145            662.9
     .3155            633.0
     .3165            633.2
     .3175            773.9
     .3185            664.9
     .3195            710.5
     .3205            805.1
     .3215            699.5
     .3225            688.6
     .3235            661.3
     .3245            760.8
     .3255            875.8
     .3265            979.5
     .3275            952.7
     .3285            917.6
     .3295           1061.
     .3305           1016.
     .3315            965.7
     .3325            954.9
     .3335            921.6
     .3345            958.9
     .3355            943.4
     .3365            809.5
     .3375            841.8
     .3385            921.5
     .3395            958.1
     .3405           1007.
     .3415            923.8
     .3425            993.0
     .3435            950.6
     .3445            795.7
     .3455            939.2
     .3465            926.4
     .3475            901.7
     .3485            897.2
     .3495            889.8
     .3505           1050.
     .3515            979.5
     .3525            907.9
     .3535           1033.
     .3545           1111.
     .3555           1045.
     .3565            912.3
     .3575            796.0
     .3585            693.6
     .3595            991.1
     .3605            970.8
     .3615            878.1
     .3625            997.8
     .3635            996.9
     .3645           1013.
     .3655           1152.
     .3665           1233.
     .3675           1180.
     .3685           1101.
     .3695           1226.
     .3705           1139.
     .3715           1175.
     .3725           1054.
     .3735            920.2
     .3745            900.4
     .3755           1062.
     .3765           1085.
     .3775           1282.
     .3785           1327.
     .3795           1066.
     .3805           1202.
     .3815           1082.
     .3825            791.3
     .3835            684.1
     .3845            959.7
     .3855           1008.
     .3865           1007.
     .3875           1004.
     .3885            984.3
     .3895           1174.
     .3905           1247.
     .3915           1342.
     .3925           1019.
     .3935            582.3
     .3945           1026.
     .3955           1314.
     .3965            854.5
     .3975            928.8
     .3985           1522.
     .3995           1663.
     .4005           1682.
     .4015           1746.
     .4025           1759.
     .4035           1684.
     .4045           1674.
     .4055           1667.
     .4065           1589.
