 Venus_LLR05
   p[hPa]        trad[s] 
 2.082000e-01  1.296000e+06 
 2.683000e-01  1.555000e+06 
 4.110000e-01  1.901000e+06 
 7.237000e-01  2.160000e+06 
 1.385000e+00  2.160000e+06 
 2.784000e+00  2.160000e+06 
 5.758000e+00  2.160000e+06 
 1.200000e+01  2.160000e+06 
 2.458000e+01  2.160000e+06 
 4.903000e+01  2.160000e+06 
 9.478000e+01  2.160000e+06 
 1.761000e+02  2.160000e+06 
 3.149000e+02  2.160000e+06 
 5.412000e+02  2.160000e+06 
 8.966000e+02  2.160000e+06 
 1.435000e+03  2.160000e+06 
 2.224000e+03  2.160000e+06 
 3.349000e+03  2.160000e+06 
 4.912000e+03  2.160000e+06 
 7.033000e+03  2.160000e+06 
 9.850000e+03  2.160000e+06 
 1.351000e+04  2.160000e+06 
 1.817000e+04  2.160000e+06 
 2.396000e+04  2.160000e+06 
 3.098000e+04  2.160000e+06 
 3.926000e+04  2.160000e+06 
 4.870000e+04  2.160000e+06 
 5.902000e+04  2.160000e+06 
 6.967000e+04  2.160000e+06 
 7.982000e+04  2.160000e+06 
 8.833000e+04  2.160000e+06 
 1.039000e+05  2.160000e+06 
 1.172000e+05  2.160000e+06 
 1.321000e+05  2.160000e+06 
