  Vertical profile for lat=-86.7 lon=-178.6 
   K  sigmatheta  press[hPa]     temp[K]  theta[K]  N2[1/s^2]  U[m/s]  re[km]   rp[km]
  1.0  563.171  1.260397e+01      213.1     563.2   0.000280    0.00   6076.2   6076.2
  2.0  526.564  2.002269e+01      220.8     526.6   0.000260    0.00   6074.0   6074.0
  3.0  493.788  3.180807e+01      229.5     493.8   0.000238    0.00   6071.7   6071.6
  4.0  464.380  5.053035e+01      239.2     464.4   0.000219    0.00   6069.3   6069.2
  5.0  437.845  8.027259e+01      250.0     437.9   0.000201    0.00   6066.8   6066.7
  6.0  413.952  1.275212e+02      262.0     414.0   0.000181    0.00   6064.1   6064.1
  7.0  392.467  2.025803e+02      275.5     392.8   0.000161    0.00   6061.3   6061.3
  8.0  372.307  3.218193e+02      290.8     374.1   0.000140    0.00   6058.4   6058.4
  9.0  350.618  5.495270e+02      311.2     355.5   0.000116    0.00   6055.3   6055.3
 10.0  329.863  9.647465e+02      336.0     338.7   0.000095    0.00   6052.0   6052.0
 11.0  312.560  1.572216e+03      361.0     326.5   0.000078    0.00   6048.5   6048.4
 12.0  296.343  2.470458e+03      387.3     316.8   0.000064    0.00   6044.7   6044.7
 13.0  280.327  3.852325e+03      416.6     308.7   0.000052    0.00   6040.7   6040.6
 14.0  264.345  5.999108e+03      449.4     301.8   0.000042    0.00   6036.3   6036.2
 15.0  248.369  9.340080e+03      486.0     295.8   0.000035    0.00   6031.3   6031.3
 16.0  232.395  1.454111e+04      526.7     290.5   0.000029    0.00   6025.9   6025.8
 17.0  216.420  2.263820e+04      571.3     285.6   0.000027    0.00   6020.0   6020.0
 18.0  200.445  3.524403e+04      619.1     280.5   0.000027    0.00   6014.2   6014.1
 19.0  184.471  5.486928e+04      669.7     275.0   0.000029    0.00   6008.6   6008.5
 20.0  170.742  8.026945e+04      721.2     272.2  -0.000001    0.00   6003.7   6003.7
