 Venus_LLR05,  nk, nj, ni = 20, 64, 128 
 zonal wind data at K,I = 20,  1 
      f,zeta,z+f units: 1.e-4 s^-1
 df/dy,d(z+f)/dy units: 1.e-12 m^-1 s^-1 

 lat(deg)  u(m/s)      f       zeta       zeta+f     df/dy     d(zeta+f)/dy 
  86.7      0.00   5.975e-03  0.000e+00  5.975e-03  4.023e-03  4.023e-03 
  84.0      0.00   5.952e-03  0.000e+00  5.951e-03  1.039e-02  1.039e-02 
  81.3      0.00   5.916e-03  0.000e+00  5.914e-03  1.506e-02  1.506e-02 
  78.6      0.00   5.867e-03  0.000e+00  5.865e-03  1.971e-02  1.971e-02 
  75.9      0.00   5.804e-03  0.000e+00  5.803e-03  2.430e-02  2.430e-02 
  73.2      0.00   5.729e-03  0.000e+00  5.727e-03  2.885e-02  2.885e-02 
  70.5      0.00   5.640e-03  0.000e+00  5.639e-03  3.333e-02  3.333e-02 
  67.8      0.00   5.539e-03  0.000e+00  5.538e-03  3.773e-02  3.773e-02 
  65.0      0.00   5.426e-03  0.000e+00  5.425e-03  4.205e-02  4.205e-02 
  62.3      0.00   5.301e-03  0.000e+00  5.299e-03  4.628e-02  4.628e-02 
  59.6      0.00   5.163e-03  0.000e+00  5.162e-03  5.040e-02  5.040e-02 
  56.9      0.00   5.014e-03  0.000e+00  5.013e-03  5.441e-02  5.441e-02 
  54.2      0.00   4.854e-03  0.000e+00  4.853e-03  5.830e-02  5.830e-02 
  51.5      0.00   4.683e-03  0.000e+00  4.682e-03  6.206e-02  6.206e-02 
  48.8      0.00   4.502e-03  0.000e+00  4.501e-03  6.568e-02  6.568e-02 
  46.1      0.00   4.311e-03  0.000e+00  4.309e-03  6.915e-02  6.915e-02 
  43.4      0.00   4.109e-03  0.000e+00  4.108e-03  7.246e-02  7.246e-02 
  40.7      0.00   3.899e-03  0.000e+00  3.898e-03  7.562e-02  7.562e-02 
  37.9      0.00   3.680e-03  0.000e+00  3.679e-03  7.861e-02  7.861e-02 
  35.2      0.00   3.453e-03  0.000e+00  3.452e-03  8.142e-02  8.142e-02 
  32.5      0.00   3.218e-03  0.000e+00  3.217e-03  8.404e-02  8.404e-02 
  29.8      0.00   2.975e-03  0.000e+00  2.975e-03  8.648e-02  8.648e-02 
  27.1      0.00   2.727e-03  0.000e+00  2.726e-03  8.873e-02  8.873e-02 
  24.4      0.00   2.472e-03  0.000e+00  2.471e-03  9.078e-02  9.078e-02 
  21.7      0.00   2.211e-03  0.000e+00  2.211e-03  9.262e-02  9.262e-02 
  19.0      0.00   1.946e-03  0.000e+00  1.945e-03  9.426e-02  9.426e-02 
  16.3      0.00   1.676e-03  0.000e+00  1.675e-03  9.569e-02  9.569e-02 
  13.6      0.00   1.402e-03  0.000e+00  1.402e-03  9.690e-02  9.690e-02 
  10.8      0.00   1.126e-03  0.000e+00  1.125e-03  9.790e-02  9.790e-02 
   8.1      0.00   8.464e-04  0.000e+00  8.462e-04  9.868e-02  9.868e-02 
   5.4      0.00   5.654e-04  0.000e+00  5.652e-04  9.923e-02  9.923e-02 
   2.7      0.00   2.830e-04  0.000e+00  2.829e-04  9.957e-02  9.957e-02 
   0.0      0.00   3.897e-18  0.000e+00  0.000e+00  9.968e-02  9.968e-02 
  -2.7      0.00  -2.830e-04  0.000e+00 -2.829e-04  9.957e-02  9.957e-02 
  -5.4      0.00  -5.654e-04  0.000e+00 -5.652e-04  9.923e-02  9.923e-02 
  -8.1      0.00  -8.464e-04  0.000e+00 -8.462e-04  9.868e-02  9.868e-02 
 -10.8      0.00  -1.126e-03  0.000e+00 -1.125e-03  9.790e-02  9.790e-02 
 -13.6      0.00  -1.402e-03  0.000e+00 -1.402e-03  9.690e-02  9.690e-02 
 -16.3      0.00  -1.676e-03  0.000e+00 -1.675e-03  9.569e-02  9.569e-02 
 -19.0      0.00  -1.946e-03  0.000e+00 -1.945e-03  9.426e-02  9.426e-02 
 -21.7      0.00  -2.211e-03  0.000e+00 -2.211e-03  9.262e-02  9.262e-02 
 -24.4      0.00  -2.472e-03  0.000e+00 -2.471e-03  9.078e-02  9.078e-02 
 -27.1      0.00  -2.727e-03  0.000e+00 -2.726e-03  8.873e-02  8.873e-02 
 -29.8      0.00  -2.975e-03  0.000e+00 -2.975e-03  8.648e-02  8.648e-02 
 -32.5      0.00  -3.218e-03  0.000e+00 -3.217e-03  8.404e-02  8.404e-02 
 -35.2      0.00  -3.453e-03  0.000e+00 -3.452e-03  8.142e-02  8.142e-02 
 -37.9      0.00  -3.680e-03  0.000e+00 -3.679e-03  7.861e-02  7.861e-02 
 -40.7      0.00  -3.899e-03  0.000e+00 -3.898e-03  7.562e-02  7.562e-02 
 -43.4      0.00  -4.109e-03  0.000e+00 -4.108e-03  7.246e-02  7.246e-02 
 -46.1      0.00  -4.311e-03  0.000e+00 -4.309e-03  6.915e-02  6.915e-02 
 -48.8      0.00  -4.502e-03  0.000e+00 -4.501e-03  6.568e-02  6.568e-02 
 -51.5      0.00  -4.683e-03  0.000e+00 -4.682e-03  6.206e-02  6.206e-02 
 -54.2      0.00  -4.854e-03  0.000e+00 -4.853e-03  5.830e-02  5.830e-02 
 -56.9      0.00  -5.014e-03  0.000e+00 -5.013e-03  5.441e-02  5.441e-02 
 -59.6      0.00  -5.163e-03  0.000e+00 -5.162e-03  5.040e-02  5.040e-02 
 -62.3      0.00  -5.301e-03  0.000e+00 -5.299e-03  4.628e-02  4.628e-02 
 -65.0      0.00  -5.426e-03  0.000e+00 -5.425e-03  4.205e-02  4.205e-02 
 -67.8      0.00  -5.539e-03  0.000e+00 -5.538e-03  3.773e-02  3.773e-02 
 -70.5      0.00  -5.640e-03  0.000e+00 -5.639e-03  3.333e-02  3.333e-02 
