U.S. Standard Atmosphere (1976), calculated using epic/tools/C/us_standard_atmos_alt.c
Based on formulas from http://www.atmosculator.com/The Standard Atmosphere.html

  Z[km]  Temp[K]  Press[hPa]  Dens[kg/m^3]  Theta[K]  N2[1/s^2]  NH[m/s]
  0.000   288.15   1.013e+03     1.225e+00    287.07  1.113e-04    88.98
  0.500   284.90   9.546e+02     1.167e+00    288.71  1.126e-04    88.48
  1.000   281.65   8.987e+02     1.112e+00    290.38  1.139e-04    87.98
  1.500   278.40   8.456e+02     1.058e+00    292.08  1.152e-04    87.47
  2.000   275.15   7.950e+02     1.006e+00    293.81  1.166e-04    86.96
  2.500   271.90   7.468e+02     9.569e-01    295.58  1.180e-04    86.44
  3.000   268.65   7.011e+02     9.091e-01    297.37  1.194e-04    85.92
  3.500   265.40   6.576e+02     8.632e-01    299.20  1.209e-04    85.40
  4.000   262.15   6.164e+02     8.191e-01    301.06  1.224e-04    84.88
  4.500   258.90   5.773e+02     7.768e-01    302.95  1.239e-04    84.35
  5.000   255.65   5.402e+02     7.361e-01    304.88  1.255e-04    83.82
  5.500   252.40   5.051e+02     6.971e-01    306.85  1.271e-04    83.29
  6.000   249.15   4.718e+02     6.597e-01    308.86  1.287e-04    82.75
  6.500   245.90   4.403e+02     6.238e-01    310.91  1.304e-04    82.21
  7.000   242.65   4.106e+02     5.895e-01    313.00  1.322e-04    81.66
  7.500   239.40   3.825e+02     5.566e-01    315.13  1.340e-04    81.11
  8.000   236.15   3.560e+02     5.252e-01    317.30  1.358e-04    80.56
  8.500   232.90   3.310e+02     4.951e-01    319.52  1.377e-04    80.00
  9.000   229.65   3.074e+02     4.663e-01    321.79  1.397e-04    79.44
  9.500   226.40   2.852e+02     4.389e-01    324.11  1.417e-04    78.88
 10.000   223.15   2.644e+02     4.127e-01    326.47  1.437e-04    78.31
 10.500   219.90   2.447e+02     3.877e-01    328.89  1.459e-04    77.75
 11.000   216.65   2.263e+02     3.639e-01    331.37  2.946e-04   108.85
 11.500   216.65   2.092e+02     3.363e-01    338.92  4.423e-04   133.36
 12.000   216.65   1.933e+02     3.108e-01    346.65  4.423e-04   133.36
 12.500   216.65   1.786e+02     2.873e-01    354.56  4.423e-04   133.36
 13.000   216.65   1.651e+02     2.655e-01    362.64  4.423e-04   133.36
 13.500   216.65   1.526e+02     2.454e-01    370.91  4.423e-04   133.36
 14.000   216.65   1.410e+02     2.268e-01    379.37  4.423e-04   133.36
 14.500   216.65   1.303e+02     2.096e-01    388.03  4.423e-04   133.36
 15.000   216.65   1.204e+02     1.937e-01    396.87  4.423e-04   133.36
 15.500   216.65   1.113e+02     1.790e-01    405.93  4.423e-04   133.36
 16.000   216.65   1.029e+02     1.654e-01    415.18  4.423e-04   133.36
 16.500   216.65   9.507e+01     1.529e-01    424.65  4.423e-04   133.36
 17.000   216.65   8.787e+01     1.413e-01    434.34  4.423e-04   133.36
 17.500   216.65   8.120e+01     1.306e-01    444.24  4.423e-04   133.36
